id,lat,lon,user,uid,version,changeset,timestamp
206358558,37.3874476,-5.9860152,Alberto Molina,161725,5,5200770,2010-07-12T17:10:03Z
206358559,37.3875532,-5.9859290,Alberto Molina,161725,5,5200770,2010-07-12T17:09:34Z
206358560,37.3876921,-5.9858818,Alberto Molina,161725,5,5200770,2010-07-12T17:10:01Z
206358566,37.3894562,-5.9870838,erlenmeyer,875518,4,22112905,2014-05-03T19:40:44Z
206358568,37.3894675,-5.9869536,erlenmeyer,875518,4,22112905,2014-05-03T19:40:44Z
206358569,37.3898495,-5.9887401,cirdancarpintero,2245342,8,54498187,2017-12-09T22:46:00Z
206358570,37.3900205,-5.9884651,cirdancarpintero,2245342,8,54571847,2017-12-12T16:57:18Z
206358571,37.3902612,-5.9883272,Alberto Molina,161725,7,5200770,2010-07-12T17:09:48Z
206358572,37.3905327,-5.9883066,CristinaDC,2392758,14,32716946,2015-07-18T12:50:41Z
206358573,37.3905198,-5.9880871,erlenmeyer,875518,6,29368555,2015-03-09T18:28:58Z
206358574,37.3903854,-5.9878222,erlenmeyer,875518,7,29368555,2015-03-09T18:28:58Z
206358575,37.3902962,-5.9877540,erlenmeyer,875518,6,29368555,2015-03-09T18:28:58Z
206358576,37.3899091,-5.9873040,erlenmeyer,875518,6,22112905,2014-05-03T19:40:44Z
206358577,37.3905044,-5.9888565,BoomEngine,288925,9,79127974,2020-01-02T19:30:22Z
206358580,37.3898622,-5.9859326,Alberto Molina,161725,5,5200770,2010-07-12T17:09:31Z
206358581,37.3902020,-5.9864006,cirdancarpintero,2245342,7,61373711,2018-08-05T13:09:16Z
206358582,37.3903503,-5.9866114,BoomEngine,288925,9,79216230,2020-01-05T16:02:05Z
206358583,37.3906496,-5.9869240,jamesks,2500,5,18152518,2013-10-02T22:27:19Z
206358589,37.3906564,-5.9885756,erlenmeyer,875518,16,29368555,2015-03-09T18:28:59Z
206358590,37.3909630,-5.9883453,BoomEngine,288925,15,79216817,2020-01-05T16:26:24Z
206358592,37.3912136,-5.9882556,erlenmeyer,875518,23,50691946,2017-07-30T11:58:02Z
206358593,37.3914263,-5.9880471,Alberto Molina,161725,10,5200770,2010-07-12T17:10:19Z
206358596,37.3919298,-5.9869633,erlenmeyer,875518,8,48976697,2017-05-25T15:00:55Z
206358602,37.3886918,-5.9855539,Alberto Molina,161725,9,5200770,2010-07-12T17:09:37Z
206358603,37.3884829,-5.9852979,cirdancarpintero,2245342,4,54516496,2017-12-10T17:13:32Z
206358604,37.3883590,-5.9847856,cirdancarpintero,2245342,21,54516496,2017-12-10T17:13:32Z
206358605,37.3877707,-5.9871264,Wim L,223681,17,76867881,2019-11-10T13:11:53Z
206358607,37.3873448,-5.9864983,nonopp,291857,6,8577920,2011-06-29T06:35:50Z
206358608,37.3870276,-5.9858592,cirdancarpintero,2245342,6,54399310,2017-12-06T12:19:20Z
